u_cm_desde_borde_superior,d_cm_bajo_plano_superior,bajada_cm_desde_muro
0.00,0.00,136.00
20.00,4.43,140.43
40.00,8.85,144.85
60.00,13.28,149.28
80.00,17.71,153.71
100.00,22.13,158.13
120.00,26.56,162.56
140.00,30.99,166.99
160.00,37.51,173.51
180.00,44.45,180.45
200.00,51.39,187.39
220.00,58.34,194.34
240.00,65.28,201.28
260.00,72.22,208.22
280.00,79.16,215.16
300.00,84.79,220.79
320.00,90.01,226.01
340.00,95.24,231.24
360.00,100.46,236.46
380.00,105.69,241.69
400.00,110.91,246.91
420.00,115.03,251.03
440.00,118.53,254.53
460.00,122.02,258.02
480.00,125.52,261.52
500.00,129.01,265.01
520.00,132.51,268.51
540.00,136.00,272.00
