s_cm_along_cuerda_desde_T,p_cm_perpendicular_a_cuerda
0.00,0.00
14.28,1.74
28.56,3.24
42.84,4.53
57.11,5.64
71.39,6.58
85.67,7.40
99.95,8.08
114.23,8.53
128.51,8.72
142.79,8.63
157.06,8.25
171.34,7.46
185.62,5.88
199.90,3.73
214.18,1.33
228.46,-1.06
242.73,-3.15
257.01,-4.64
271.29,-5.74
285.57,-6.72
299.85,-7.58
314.13,-8.31
328.41,-8.91
342.68,-9.38
356.96,-9.70
371.24,-9.89
385.52,-9.94
399.80,-9.83
414.08,-9.58
428.36,-9.15
442.63,-8.57
456.91,-7.86
471.19,-7.03
485.47,-6.10
499.75,-5.09
514.03,-3.98
528.31,-2.76
542.58,-1.44
556.86,0.00
