u_cm_desde_borde_superior,d_cm_bajo_plano_superior,bajada_cm_desde_muro
0.00,0.00,136.00
13.85,1.74,137.74
27.69,3.71,139.71
41.54,5.89,141.89
55.38,8.24,144.24
69.23,10.75,146.75
83.08,13.40,149.40
96.92,16.17,152.17
110.77,19.16,155.16
124.62,22.40,158.40
138.46,25.94,161.94
152.31,29.78,165.78
166.15,34.00,170.00
180.00,39.06,175.06
193.85,44.81,180.81
207.69,50.88,186.88
221.54,56.94,192.94
235.38,62.64,198.64
249.23,67.65,203.65
263.08,72.29,208.29
276.92,76.79,212.79
290.77,81.16,217.16
304.62,85.39,221.39
318.46,89.48,225.48
332.31,93.43,229.43
346.15,97.23,233.23
360.00,100.89,236.89
373.85,104.39,240.39
387.69,107.75,243.75
401.54,110.94,246.94
415.38,113.97,249.97
429.23,116.84,252.84
443.08,119.58,255.58
456.92,122.22,258.22
470.77,124.75,260.75
484.62,127.21,263.21
498.46,129.56,265.56
512.31,131.81,267.81
526.15,133.96,269.96
540.00,136.00,272.00
